"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
331.235474,-288.545105,-166.998047,-715.006714,-422.52771,-148.484375,2,3,"472ac3e23ebc878b"
250.763123,-520.064331,-163.145264,-349.03186,-592.82959,-270.461121,2,3,"472ac3e23ebc878b"
225.281479,-1498.346802,-175.96875,-990.133789,-2485.51709,-167.96875,2,3,"472ac3e23ebc878b"
-935.213074,-677.244141,-263.96875,460.746399,-500.391846,-159.96875,3,2,"472ac3e23ebc878b"
-710.937317,-846.778748,-260.575684,-640.379272,-913.503662,-227.213257,2,3,"472ac3e23ebc878b"
1301.72168,315.213654,-231.438232,1204.000977,-553.734802,-194.261719,3,2,"472ac3e23ebc878b"
1376.155518,-306.515991,-167.96875,1155.442383,184.755737,-215.340393,2,3,"472ac3e23ebc878b"
148.869125,-1709.574585,-167.96875,258.035004,-1448.27478,-175.96875,3,2,"472ac3e23ebc878b"
302.73175,-1524.098633,-175.96875,-857.80365,-2308.331055,-171.082458,2,3,"472ac3e23ebc878b"
313.58139,-1568.497925,-175.96875,107.799774,-1639.832764,-167.96875,2,3,"472ac3e23ebc878b"
69.81781,-2117.404053,-39.96875,-943.403259,-1402.386108,-167.96875,2,3,"472ac3e23ebc878b"
31.799505,-2020.033447,-39.96875,87.889679,-2138.925049,-39.96875,3,2,"472ac3e23ebc878b"
-2139.22998,824.234985,-123.920959,-2001.766724,696.173645,-47.96875,3,2,"472ac3e23ebc878b"
-2151.841064,688.470642,-133.234314,-1929.215698,258.788788,-159.96875,3,2,"472ac3e23ebc878b"
-2555.644287,256.614899,-167.96875,-2019.318604,666.562683,-43.96875,3,2,"472ac3e23ebc878b"
-888.399353,294.692505,-167.653931,-691.0896,-950.508606,-215.96875,3,2,"472ac3e23ebc878b"
-946.983032,-1438.81311,-167.96875,151.932831,-2071.412598,-39.96875,2,3,"472ac3e23ebc878b"
-1235.600708,-1434.130127,-159.747803,-1147.433838,-774.830566,-167.96875,2,3,"472ac3e23ebc878b"
-1125.65564,-798.588928,-167.96875,-1245.585693,-1432.475586,-159.366821,3,2,"472ac3e23ebc878b"
-1074.645996,-1502.194092,-162.643433,-1291.893433,-1029.372925,-167.96875,2,3,"472ac3e23ebc878b"
-1240.051636,-1485.022217,-154.868774,-866.065063,-1364.193359,-167.96875,3,2,"472ac3e23ebc878b"
1.956007,-1418.403931,-169.76416,-69.043152,-1908.667969,-167.96875,3,2,"472ac3e23ebc878b"
-1241.705933,-1260.59082,-167.96875,84.833946,-2036.572388,-39.96875,2,3,"472ac3e23ebc878b"
-1228.070923,-1234.166382,-167.96875,-80.899109,-1948.924194,-167.96875,2,3,"472ac3e23ebc878b"
427.821472,-195.756531,-162.054321,-1012.786987,-646.067566,-151.1875,2,3,"472ac3e23ebc878b"
715.361084,-1686.224976,-250.995178,204.861969,-1503.327148,-175.96875,2,3,"472ac3e23ebc878b"
697.432007,-1695.204468,-250.456421,336.325317,-1480.714844,-175.96875,2,3,"472ac3e23ebc878b"
-1595.666382,698.230469,-47.96875,-1920.631836,-266.103516,-127.96875,2,3,"472ac3e23ebc878b"
-997.89325,-2319.308105,-167.96875,21.03599,-2081.960693,-39.96875,3,2,"472ac3e23ebc878b"
-225.941956,-1915.797119,-167.96875,-942.075684,-2376.977295,-167.96875,2,3,"472ac3e23ebc878b"
743.895874,-1514.842407,-263.94751,-49.766479,-1615.904053,-167.96875,2,3,"472ac3e23ebc878b"
-522.128296,-991.053528,-167.96875,-720.507568,-955.409363,-154.515625,3,2,"472ac3e23ebc878b"
-709.217346,-870.702576,-248.61377,-527.12854,-1005.273743,-167.96875,2,3,"472ac3e23ebc878b"
333.098358,-360.519653,-165.944946,-573.073914,-353.424194,-167.927307,3,2,"472ac3e23ebc878b"
-858.21637,-622.600037,-261.946777,425.63382,-511.476807,-163.148132,3,2,"472ac3e23ebc878b"
