"arme","temps_kill"
ak-47,84.765625
ak-47,58.671875
m4a1,66.40625
m4a1,69.078125
m4a1,77.796875
m4a1,81.09375
m4a1,60.0625
m4a1,62.546875
m4a1,106.8125
m4a1,107.59375
m4a1,66.359375
m4a1,74.015625
ak-47,75.46875
ak-47,77.3125
m4a1,80.375
m4a1,91.84375
m4a1,114.34375
ak-47,16.671875
ak-47,44.84375
ak-47,47.5
m4a1,90.796875
m4a1,96.0
ak-47,16.8125
ak-47,69.875
ak-47,71.671875
awp,73.5625
awp,91.109375
m4a1,38.34375
ak-47,74.359375
m4a1,74.390625
m4a1,76.84375
awp,77.1875
awp,79.5
ak-47,74.09375
ak-47,75.546875
m4a1,52.5
m4a1,53.109375
m4a1,55.953125
awp,8.515625
awp,11.6875
m4a1,19.6875
m4a1,24.0
awp,24.4375
m4a1,69.4375
ak-47,108.8125
m4a1,41.96875
m4a1,43.359375
