"match_checksum","number","winner_side"
"126487747bcfd5c",10,3
"5197543f76489ac6",1,3
"126487747bcfd5c",11,2
"126487747bcfd5c",12,3
"15d519902ba3589b",1,2
"15d519902ba3589b",2,2
"15d519902ba3589b",3,2
"15d519902ba3589b",4,3
"15d519902ba3589b",5,2
"15d519902ba3589b",6,3
"15d519902ba3589b",7,3
"15d519902ba3589b",8,2
"15d519902ba3589b",9,3
"15d519902ba3589b",10,2
"15d519902ba3589b",11,2
"15d519902ba3589b",12,3
"170b0765d43fb325",1,3
"170b0765d43fb325",2,3
"170b0765d43fb325",3,3
"170b0765d43fb325",4,3
"170b0765d43fb325",5,2
"170b0765d43fb325",6,2
"170b0765d43fb325",7,3
"170b0765d43fb325",8,3
"170b0765d43fb325",9,3
"170b0765d43fb325",10,2
"170b0765d43fb325",11,3
"170b0765d43fb325",12,3
"68706dd3b8edc89f",1,2
"68706dd3b8edc89f",2,2
"68706dd3b8edc89f",3,2
"68706dd3b8edc89f",4,3
"68706dd3b8edc89f",5,3
"68706dd3b8edc89f",6,2
"68706dd3b8edc89f",7,2
"68706dd3b8edc89f",8,2
"68706dd3b8edc89f",9,3
"68706dd3b8edc89f",10,2
"68706dd3b8edc89f",11,2
"68706dd3b8edc89f",12,2
bc264f76fff3cf86,1,2
bc264f76fff3cf86,2,2
bc264f76fff3cf86,3,2
bc264f76fff3cf86,4,2
bc264f76fff3cf86,5,2
bc264f76fff3cf86,6,2
bc264f76fff3cf86,7,2
bc264f76fff3cf86,8,2
bc264f76fff3cf86,9,3
bc264f76fff3cf86,10,2
bc264f76fff3cf86,11,3
bc264f76fff3cf86,12,2
af3138c4f9478cad,1,2
af3138c4f9478cad,2,2
af3138c4f9478cad,3,2
af3138c4f9478cad,4,2
af3138c4f9478cad,5,3
af3138c4f9478cad,6,2
af3138c4f9478cad,7,3
af3138c4f9478cad,8,3
af3138c4f9478cad,9,3
af3138c4f9478cad,10,2
af3138c4f9478cad,11,3
af3138c4f9478cad,12,3
"508a34a389bb6d9b",1,3
"508a34a389bb6d9b",2,3
"508a34a389bb6d9b",3,3
"508a34a389bb6d9b",4,3
"508a34a389bb6d9b",5,2
"508a34a389bb6d9b",6,2
"508a34a389bb6d9b",7,2
"508a34a389bb6d9b",8,3
"508a34a389bb6d9b",9,2
"508a34a389bb6d9b",10,3
"508a34a389bb6d9b",11,2
"508a34a389bb6d9b",12,2
ccaad0683502a557,1,3
ccaad0683502a557,2,3
ccaad0683502a557,3,2
ccaad0683502a557,4,3
ccaad0683502a557,5,3
ccaad0683502a557,6,2
ccaad0683502a557,7,3
ccaad0683502a557,8,3
ccaad0683502a557,9,3
ccaad0683502a557,10,3
ccaad0683502a557,11,3
ccaad0683502a557,12,2
b833a145b9354816,1,3
b833a145b9354816,2,3
b833a145b9354816,3,3
b833a145b9354816,4,3
b833a145b9354816,5,2
b833a145b9354816,6,2
b833a145b9354816,7,2
b833a145b9354816,8,3
b833a145b9354816,9,3
b833a145b9354816,10,3
b833a145b9354816,11,3
b833a145b9354816,12,3
"4f113284d3a60660",1,3
"4f113284d3a60660",2,3
"4f113284d3a60660",3,2
"4f113284d3a60660",4,3
"4f113284d3a60660",5,3
"4f113284d3a60660",6,2
"4f113284d3a60660",7,2
"4f113284d3a60660",8,2
"4f113284d3a60660",9,2
"4f113284d3a60660",10,2
"4f113284d3a60660",11,2
"4f113284d3a60660",12,2
b2e61c050ce18062,1,2
b2e61c050ce18062,2,2
b2e61c050ce18062,3,3
b2e61c050ce18062,4,3
b2e61c050ce18062,5,3
b2e61c050ce18062,6,2
b2e61c050ce18062,7,3
b2e61c050ce18062,8,2
b2e61c050ce18062,9,3
b2e61c050ce18062,10,3
b2e61c050ce18062,11,3
